IP,"Reverse DNS","Best-guess OS fingerprint","OS guess accuracy"
109.206.118.177,dyn-118-177.kbcnet.rs,"Avocent DSR1021 KVM switch",97
109.207.207.129,,"Alcatel-Lucent OmniSwitch 6000 switch or Quantum DXi8500 NAS device",95
109.2.222.97,97.222.2.109.rev.sfr.net,"Avaya G700 Telephony Media Gateway or Sun Advanced Lights Out Maganer 1.5.2 (VxWorks)",97
109.226.77.128,109-226-77-128.clients.tlt.100megabit.ru,"Microsoft Windows Server 2008 SP2",93
109.226.79.206,109-226-79-206.clients.tlt.100megabit.ru,"Microsoft Windows Server 2008 SP2",95
109.226.79.217,109-226-79-217.clients.tlt.100megabit.ru,"Microsoft Windows XP Professional SP2",92
109.226.79.3,109-226-79-3.clients.tlt.100megabit.ru,"Microsoft Windows XP Professional SP2",92
109.226.96.16,109-226-96-16.clients.tlt.100megabit.ru,"Microsoft Windows XP Professional SP2",96
109.227.104.179,109-227-104-179.dynamic-pool.mclaut.net,"Microsoft Windows XP Professional SP2",96
109.227.107.196,109-227-107-196.dynamic-pool.mclaut.net,"Microsoft Windows XP SP2 or SP3",96
109.227.116.119,109-227-116-119.dynamic-pool.mclaut.net,"Microsoft Windows XP SP2 or SP3",96
109.227.118.178,109-227-118-178.dynamic-pool.mclaut.net,"Microsoft Windows Server 2008 SP1",96
109.227.68.132,109-227-68-132.dynamic-pool.mclaut.net,"Microsoft Windows XP SP2",95
109.227.71.148,109-227-71-148.dynamic-pool.mclaut.net,"Linksys WRV54G WAP",96
109.227.86.210,109-227-86-210.dynamic-pool.mclaut.net,"Microsoft Windows XP SP2 or Windows Server 2003 SP2",95
109.228.198.149,109-228-198-149.milleni.com.tr,"Linksys RV042 router",97
109.228.200.231,109-228-200-231.milleni.com.tr,"Avaya G700 Telephony Media Gateway or Sun Advanced Lights Out Maganer 1.5.2 (VxWorks)",97
109.228.239.153,109-228-239-153.milleni.com.tr,"ADSL router: Huawei MT800u-T; or ZyXEL Prestige 623ME-T1, 643, 662HW-61, 782, or 2602R-61",96
109.228.242.91,,"Sitecom WL-174 wireless ADSL router or ZyXEL B-3000 WAP",95
109.228.243.165,,"D-Link DSL-500G ADSL router",95
109.228.254.229,109-228-254-229.milleni.com.tr,"AudioCodes MediaPack 118 or Mediant 1000 VoIP adapter",94
109.229.122.238,238-122-229-109.broadband.telenettv.ru,"Microsoft Windows XP Professional SP2",95
109.229.122.74,74-122-229-109.broadband.telenettv.ru,"Microsoft Windows 7 Ultimate",95
109.230.222.19,,"Microsoft Windows XP SP3",96
109.230.228.168,,"Linux 2.6.32 - 3.2",99
109.230.238.157,,"Netgear DG834G WAP or Western Digital WD TV media player",96
109.230.239.157,,"Linux 2.6.32",96
109.230.243.153,153.243.230.109.customer.weesly.de,"Linux 2.6.18 - 2.6.21",99
109.230.243.183,183.243.230.109.customer.weesly.de,"Linux 2.6.13 - 2.6.32",97
109.230.244.81,,"Linux 2.6.20-1 (Fedora Core 5)",98
109.233.235.232,109-233-235-232.irkcity.ru,"Microsoft Windows XP SP3",98
109.233.239.23,109-233-239-23.irkcity.ru,"Microsoft Windows XP SP2 or SP3",96
109.234.155.18,mail.shopping-plaza.ru,"Linux 2.6.31",99
109.234.29.158,,"Microsoft Windows Vista SP2",98
109.234.31.234,,"Microsoft Windows XP SP2 - SP3",96
109.237.104.138,,"Microsoft Windows Vista SP2",97
109.237.104.196,,"Microsoft Windows Server 2008 SP2",95
109.237.208.225,,"Linux 2.6.9 - 2.6.27",98
109.237.218.103,,"Linux 2.6.9 - 2.6.27",98
109.237.80.161,2.lo0.kv-560-r1.triacom.ua,"Juniper MX960 router (JUNOS 9.5R3.7)",95
109.237.81.89,,"Juniper MX960 router (JUNOS 9.5R3.7)",95
109.237.82.245,,"Juniper MX960 router (JUNOS 9.5R3.7)",95
109.237.86.1,,"Juniper MX960 router (JUNOS 9.5R3.7)",95
109.238.227.195,host-109-238-227-195-customer.wanex.net,"Cabletron ELS100-24TXM switch",93
109.239.216.179,ppp-109-239-216-179.ekran39.ru,"Microsoft Windows XP Professional SP2",95
109.244.193.143,,"OpenVZ Linux virtualization kernel (Linux 2.6.18-028stab023.1+31-openvz-smp)",94
109.244.199.65,,"Linux 2.6.24",99
109.244.94.206,,"Linux 2.6.18 (CentOS 5.4)",95
109.248.65.211,host65-211.lanoptic.ru,"Microsoft Windows XP SP2 or SP3",96
109.248.71.220,host71-220.lanoptic.ru,"Microsoft Windows XP SP2 or SP3",96
109.248.84.182,host84-182.lanoptic.ru,"Microsoft Windows XP SP2 or SP3",96
109.251.26.163,109.251.26.163.freenet.com.ua,"Microsoft Windows XP SP2 or Windows Server 2003 SP2",99
109.254.79.111,,"D-Link DVG-5112S or DVG-6004S VoIP adapter",96
109.60.169.216,ip216.net169.n37.ru,"D-Link DIR-300 WAP",88
109.61.61.209,109-61-61-209.adsl-pool.dravanet.hu,"Linux 2.6.15 - 2.6.27",96
109.63.1.15,,"Linux 2.6.18",95
109.63.14.168,,"Linux 2.6.9 - 2.6.24",95
109.63.14.97,,"Linux 2.6.18",95
109.63.23.148,,"Linksys WRV54G WAP",95
109.63.31.96,,"Linux 2.6.18 - 2.6.32",96
109.68.230.136,lb.streaming.castaclip.net,"F5 BIG-IP 3650 Local Traffic Manager load balancer",92
109.68.43.205,ge-0-0-0-292.cr1-gdr.ki.itcons.net.ua,"Juniper M7i router",95
109.68.60.3,gw1.ams1-nl-eu.infra.onepacket.net,"Juniper Networks J2320 or MX5-T router; or EX2200, EX3200, EX4200, or EX8200 switch (JUNOS 8.5 - 11.2)",97
109.70.132.2,,"Linux 2.6.18",99
109.72.175.168,web5.ams1-nl-eu.servers.onepacket.net,"FreeBSD 8.0-RELEASE",97
109.72.80.165,srv01.thesistools.com,"Linux 2.6.18 - 2.6.32",96
109.72.95.233,srv01.dexonlineservices.com,"Linux 2.6.18 - 2.6.32",96
109.74.242.137,coppola.cust.wessexnetworks.com,"Linux 2.6.18 - 2.6.32",96
109.74.250.73,herek.cust.wessexnetworks.com,"Linux 2.6.32 - 2.6.35",95
109.75.101.208,109-75-101-208.reverse.serverbox.de,"Linux 2.6.19 - 2.6.36",97
109.75.106.232,109-75-106-232.reverse.serverbox.de,"Linux 2.6.19 - 2.6.36",97
