IP,"Reverse DNS","Best-guess OS fingerprint","OS guess accuracy"
95.0.57.113,95.0.57.113.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.61.33,95.0.61.33.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.62.57,95.0.62.57.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",95
95.0.62.193,95.0.62.193.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.63.96,95.0.63.96.dynamic.ttnet.com.tr,"Microsoft Windows 7 SP1",94
95.0.66.35,95.0.66.35.dynamic.ttnet.com.tr,"Microsoft Windows Vista SP2, Windows 7 SP1, or Windows Server 2008",92
95.0.70.2,95.0.70.2.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.82.1,95.0.82.1.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.88.201,95.0.88.201.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.90.210,95-0-90-210.7dns7.com,"FreeBSD 7.0-RELEASE-p2 - 7.1-PRERELEASE",99
95.0.92.205,95.0.92.205.dynamic.ttnet.com.tr,"Linux 2.6.15 - 2.6.26 (likely embedded)",97
95.0.98.33,95.0.98.33.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.98.49,95.0.98.49.dynamic.ttnet.com.tr,"WatchGuard FireBox 700 or X700 firewall",96
95.0.101.1,95.0.101.1.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.107.101,95.0.107.101.dynamic.ttnet.com.tr,"Redback Networks SmartEdge 600 router (SmartEdge OS)",93
95.0.110.130,95.0.110.130.dynamic.ttnet.com.tr,"Juniper M7i router",96
95.0.133.35,95.0.133.35.dynamic.ttnet.com.tr,"Redback Networks SmartEdge 600 router (SmartEdge OS)",94
95.0.135.1,95.0.135.1.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.140.1,95.0.140.1.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.144.129,95.0.144.129.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.180.33,95.0.180.33.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",95
95.0.185.129,95.0.185.129.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.187.3,95.0.187.3.dynamic.ttnet.com.tr,"Brother HL-5250DN printer",92
95.0.187.4,95.0.187.4.dynamic.ttnet.com.tr,"Brother HL-5250DN printer",92
95.0.187.142,95.0.187.142.dynamic.ttnet.com.tr,"Microsoft Windows 2000",84
95.0.192.81,95.0.192.81.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.202.57,95.0.202.57.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",95
95.0.207.81,95.0.207.81.dynamic.ttnet.com.tr,"Linksys WRV54G WAP",97
95.0.213.1,95.0.213.1.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",95
95.0.217.97,95.0.217.97.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.218.225,95.0.218.225.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.220.236,95.0.220.236.dynamic.ttnet.com.tr,"MikroTik RouterOS 3.30",95
95.0.223.49,95.0.223.49.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.234.1,95.0.234.1.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.240.129,95.0.240.129.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.243.195,mail.tbwa-istanbul.com,"Microsoft Windows Server 2008 Beta 3",94
95.0.243.101,95.0.243.101.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.248.64,95.0.248.64.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.248.82,95.0.248.82.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.248.96,95.0.248.96.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.248.98,95.0.248.98.dynamic.ttnet.com.tr,"Redback Networks SmartEdge 600 router (SmartEdge OS)",93
95.0.248.104,95.0.248.104.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.248.132,95.0.248.132.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",95
95.0.248.172,95.0.248.172.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.248.180,95.0.248.180.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.249.10,95.0.249.10.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.249.30,95.0.249.30.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.249.38,95.0.249.38.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.249.54,95.0.249.54.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.249.110,95.0.249.110.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.249.126,95.0.249.126.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.249.154,95.0.249.154.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.249.202,95.0.249.202.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",95
95.0.249.210,95.0.249.210.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.249.218,95.0.249.218.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.249.224,95.0.249.224.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.250.100,95.0.250.100.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.250.106,95.0.250.106.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.250.138,95.0.250.138.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.250.152,95.0.250.152.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.5.4.144,95.5.4.144.static.ttnet.com.tr,"3Com NBX 100 VoIP adapter (VxWorks)",96
95.5.16.142,95.5.16.142.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.16.152,95.5.16.152.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.16.155,95.5.16.155.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.17.16,95.5.17.16.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.18.24,95.5.18.24.dynamic.ttnet.com.tr,"Avaya G700 Telephony Media Gateway or Sun Advanced Lights Out Maganer 1.5.2 (VxWorks)",97
95.5.18.28,95.5.18.28.dynamic.ttnet.com.tr,"Linksys RV042 router",96
95.5.18.208,95.5.18.208.dynamic.ttnet.com.tr,"Linux 2.6.18 - 2.6.24",92
95.5.20.66,95.5.20.66.dynamic.ttnet.com.tr,"Linksys RV042 router",96
95.5.20.178,95.5.20.178.dynamic.ttnet.com.tr,"Linksys RV042 router",96
95.5.21.110,95.5.21.110.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.22.121,95.5.22.121.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.23.220,95.5.23.220.dynamic.ttnet.com.tr,"3Com NBX 100 VoIP adapter (VxWorks)",96
95.5.28.11,95.5.28.11.dynamic.ttnet.com.tr,"Linksys RV042 router",96
95.5.29.95,95.5.29.95.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.32.98,95.5.32.98.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.32.170,95.5.32.170.dynamic.ttnet.com.tr,"ADSL router: Huawei MT800u-T; or ZyXEL Prestige 623ME-T1, 643, 662HW-61, 782, or 2602R-61",97
95.5.32.228,95.5.32.228.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.54.101,95.5.54.101.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.57.247,95.5.57.247.dynamic.ttnet.com.tr,"Linksys RV042 router",96
95.5.60.130,95.5.60.130.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.60.182,95.5.60.182.dynamic.ttnet.com.tr,"Linksys RV042 router",96
95.5.64.26,95.5.64.26.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.64.99,95.5.64.99.dynamic.ttnet.com.tr,"Linksys RV042 router",96
95.5.65.43,95.5.65.43.dynamic.ttnet.com.tr,"Linksys WRV54G WAP",97
95.5.67.49,95.5.67.49.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.67.206,95.5.67.206.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.68.12,95.5.68.12.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.68.183,95.5.68.183.dynamic.ttnet.com.tr,"Linksys RV042 router",96
95.5.68.209,95.5.68.209.dynamic.ttnet.com.tr,"ADSL router: Huawei MT800u-T; or ZyXEL Prestige 623ME-T1, 643, 662HW-61, 782, or 2602R-61",97
95.5.69.10,95.5.69.10.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.69.228,95.5.69.228.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.71.255,95.5.71.255.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.72.5,95.5.72.5.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.73.102,95.5.73.102.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.74.1,95.5.74.1.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.74.58,95.5.74.58.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.75.165,95.5.75.165.dynamic.ttnet.com.tr,"ZyXEL Prestige 600-series ADSL router",97
95.5.76.31,95.5.76.31.dynamic.ttnet.com.tr,"ZyXEL Prestige 600-series ADSL router",95
95.5.76.187,95.5.76.187.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.77.55,95.5.77.55.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.81.79,95.5.81.79.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.83.213,95.5.83.213.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.87.245,95.5.87.245.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.89.147,95.5.89.147.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.91.101,95.5.91.101.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.93.162,95.5.93.162.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.98.121,95.5.98.121.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.99.199,95.5.99.199.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.106.57,95.5.106.57.dynamic.ttnet.com.tr,"ZyXEL Prestige 660R ADSL router",98
95.5.107.27,95.5.107.27.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.107.216,95.5.107.216.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.108.40,95.5.108.40.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.109.34,95.5.109.34.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.109.55,95.5.109.55.dynamic.ttnet.com.tr,"Belkin F6D4630-4 v1 WAP",99
95.5.113.85,95.5.113.85.dynamic.ttnet.com.tr,"Linksys WRV54G WAP",97
95.5.114.97,95.5.114.97.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.117.32,95.5.117.32.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.118.115,95.5.118.115.dynamic.ttnet.com.tr,"Linux 2.6.14 - 2.6.30",97
95.5.118.221,95.5.118.221.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.119.176,95.5.119.176.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.123.202,95.5.123.202.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.5.127.38,95.5.127.38.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.6.6.84,95.6.6.84.static.ttnet.com.tr,"Roku 2 XS media player (Linux 2.6.32)",97
95.6.6.86,95.6.6.86.static.ttnet.com.tr,"ADSL router: Huawei MT800u-T; or ZyXEL Prestige 623ME-T1, 643, 662HW-61, 782, or 2602R-61",96
95.6.13.107,95.6.13.107.static.ttnet.com.tr,"Linux 2.6.14 - 2.6.30",97
95.6.14.40,95.6.14.40.static.ttnet.com.tr,"Linksys RV042 router",97
95.6.15.240,95.6.15.240.static.ttnet.com.tr,"Linux 2.6.15 - 2.6.27",97
95.6.16.161,95.6.16.161.static.ttnet.com.tr,"Acorp W400G or W422G wireless ADSL modem (MontaVista embedded Linux 2.4.17)",91
95.6.17.158,95.6.17.158.static.ttnet.com.tr,"Linux 2.6.14 - 2.6.30",97
95.6.19.39,95.6.19.39.static.ttnet.com.tr,"Linksys WRV54G WAP",96
95.6.24.208,95.6.24.208.static.ttnet.com.tr,"Linux 2.6.15 - 2.6.27",97
95.6.24.236,95.6.24.236.static.ttnet.com.tr,"Microsoft Windows Server 2003 SP2",90
95.6.25.23,95.6.25.23.static.ttnet.com.tr,"Linksys RV042 router",97
95.6.25.26,95.6.25.26.static.ttnet.com.tr,"Microsoft Windows Server 2003 SP2",92
95.6.25.125,95.6.25.125.static.ttnet.com.tr,"D-Link DWL-624+ or DWL-2000AP, or TRENDnet TEW-432BRP WAP",87
95.6.26.16,95.6.26.16.static.ttnet.com.tr,"Microsoft Windows Small Business Server 2003 SP2",88
95.6.28.89,95.6.28.89.static.ttnet.com.tr,"ZyXEL ZyNOS 3.40",97
95.6.29.159,95.6.29.159.static.ttnet.com.tr,"Linksys RV042 router",97
95.6.38.32,95.6.38.32.static.ttnet.com.tr,"ZyXEL Prestige 660R ADSL router",97
95.6.39.4,95.6.39.4.static.ttnet.com.tr,"Sitecom WL-174 wireless ADSL router or ZyXEL B-3000 WAP",98
95.6.39.192,95.6.39.192.static.ttnet.com.tr,"Sony Ericsson U8i Vivaz mobile phone",95
95.6.46.213,95.6.46.213.static.ttnet.com.tr,"Linksys RV042 router",97
95.6.49.0,95.6.49.0.static.ttnet.com.tr,"Redback Networks SmartEdge 600 router (SmartEdge OS)",95
95.6.50.33,95.6.50.33.static.ttnet.com.tr,"Linksys RV042 router",97
95.6.50.140,95.6.50.140.static.ttnet.com.tr,"AVM FRITZ!Box FON WLAN 7170 WAP (Linux 2.6.13)",88
95.6.50.247,95.6.50.247.static.ttnet.com.tr,"Microsoft Windows XP SP2 or SP3",93
95.6.51.12,95.6.51.12.static.ttnet.com.tr,"Linksys WRV54G WAP",94
95.6.54.207,95.6.54.207.static.ttnet.com.tr,"D-Link DWL-624+ or DWL-2000AP, or TRENDnet TEW-432BRP WAP",87
95.6.56.30,95.6.56.30.static.ttnet.com.tr,"Linux 2.6.14 - 2.6.30",97
95.6.56.112,95.6.56.112.static.ttnet.com.tr,"AVM FRITZ!Box FON WLAN 7170 WAP (Linux 2.6.13)",89
95.6.56.138,95.6.56.138.static.ttnet.com.tr,"D-Link DWL-624+ or DWL-2000AP, or TRENDnet TEW-432BRP WAP",87
95.6.64.46,95.6.64.46.static.ttnet.com.tr,"Linksys RV042 router",97
95.6.67.185,95.6.67.185.static.ttnet.com.tr,"Linksys WRV54G WAP",96
95.6.74.187,95.6.74.187.static.ttnet.com.tr,"Linksys RV042 router",97
95.6.74.250,95.6.74.250.static.ttnet.com.tr,"Linux 2.6.14 - 2.6.30",97
95.6.76.106,95.6.76.106.static.ttnet.com.tr,"Linux 2.6.14 - 2.6.30",97
95.6.80.160,95.6.80.160.static.ttnet.com.tr,"Linksys SPA921 SIP VoIP phone",82
95.6.84.195,95.6.84.195.static.ttnet.com.tr,"OpenWrt (Linux 2.4.32)",94
95.6.93.79,95.6.93.79.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.6.94.155,95.6.94.155.dynamic.ttnet.com.tr,"D-Link DWL-624+ or DWL-2000AP, or TRENDnet TEW-432BRP WAP",87
95.6.95.179,95.6.95.179.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.0.212,95.7.0.212.static.ttnet.com.tr,"Linux 2.6.14 (ASPLinux 11)",96
95.7.2.234,95.7.2.234.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.3.175,95.7.3.175.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.6.107,95.7.6.107.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.10.3,95.7.10.3.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.11.34,95.7.11.34.dynamic.ttnet.com.tr,"Linux 2.6.14 - 2.6.30",97
95.7.16.37,95.7.16.37.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.19.194,95.7.19.194.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.21.188,95.7.21.188.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.24.3,95.7.24.3.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.27.42,95.7.27.42.dynamic.ttnet.com.tr,"Linksys RV042 router",96
95.7.32.172,95.7.32.172.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.36.168,95.7.36.168.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.37.88,95.7.37.88.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.37.217,95.7.37.217.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.38.192,95.7.38.192.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.39.163,95.7.39.163.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.43.26,95.7.43.26.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.43.140,95.7.43.140.dynamic.ttnet.com.tr,"Linksys RV042 router",96
95.7.47.220,95.7.47.220.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.48.157,95.7.48.157.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.49.94,95.7.49.94.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.51.153,95.7.51.153.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.51.182,95.7.51.182.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.52.185,95.7.52.185.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.54.132,95.7.54.132.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.55.72,95.7.55.72.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.56.193,95.7.56.193.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.56.197,95.7.56.197.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.56.202,95.7.56.202.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.62.234,95.7.62.234.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.63.4,95.7.63.4.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.63.104,95.7.63.104.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.63.195,95.7.63.195.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.68.43,95.7.68.43.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.69.221,95.7.69.221.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.70.128,95.7.70.128.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.76.91,95.7.76.91.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.77.108,95.7.77.108.dynamic.ttnet.com.tr,"Linksys RV042 router",96
95.7.78.140,95.7.78.140.dynamic.ttnet.com.tr,"Linksys RV042 router",96
95.7.87.245,95.7.87.245.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.114.168,95.7.114.168.dynamic.ttnet.com.tr,"Linksys RV042 router",96
95.7.121.254,95.7.121.254.dynamic.ttnet.com.tr,"Linksys RV042 router",96
95.7.121.255,95.7.121.255.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.126.69,95.7.126.69.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.127.19,95.7.127.19.dynamic.ttnet.com.tr,"Belkin F5D8233 WAP",99
95.7.128.39,95.7.128.39.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.129.179,95.7.129.179.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.131.23,95.7.131.23.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.131.85,95.7.131.85.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.131.220,95.7.131.220.dynamic.ttnet.com.tr,"Linksys RV042 router",96
95.7.135.237,95.7.135.237.dynamic.ttnet.com.tr,"Belkin F6D4630-4 v1 WAP",99
95.7.136.253,95.7.136.253.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.138.178,95.7.138.178.dynamic.ttnet.com.tr,"Intertex IX66-EDFLC ADSL modem",94
95.7.140.67,95.7.140.67.dynamic.ttnet.com.tr,"Linksys RV042 router",96
95.7.141.27,95.7.141.27.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.143.33,95.7.143.33.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.145.182,95.7.145.182.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.146.91,95.7.146.91.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.146.148,95.7.146.148.dynamic.ttnet.com.tr,"Linksys WRV54G WAP",97
95.7.148.215,95.7.148.215.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.149.58,95.7.149.58.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.151.46,95.7.151.46.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.152.105,95.7.152.105.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.152.182,95.7.152.182.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.155.134,95.7.155.134.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.156.32,95.7.156.32.dynamic.ttnet.com.tr,"Linksys WRV54G WAP",97
95.7.156.224,95.7.156.224.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.157.175,95.7.157.175.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.158.9,95.7.158.9.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.159.228,95.7.159.228.dynamic.ttnet.com.tr,"Microsoft Windows Server 2003 SP1",91
95.7.160.215,95.7.160.215.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.161.4,95.7.161.4.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.162.227,95.7.162.227.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.170.62,95.7.170.62.dynamic.ttnet.com.tr,"Microsoft Windows 2000 SP2 - SP4, Windows XP SP2 - SP3, or Windows Server 2003 SP0 - SP2",95
95.7.171.238,95.7.171.238.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.175.36,95.7.175.36.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.175.240,95.7.175.240.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.178.182,95.7.178.182.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.179.177,95.7.179.177.dynamic.ttnet.com.tr,"Linksys RV042 router",96
95.7.185.22,95.7.185.22.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.192.119,95.7.192.119.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.192.209,95.7.192.209.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.192.250,95.7.192.250.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.194.16,95.7.194.16.dynamic.ttnet.com.tr,"Linksys RV042 router",96
95.7.194.58,95.7.194.58.dynamic.ttnet.com.tr,"Linksys RV042 router",97
95.7.194.99,95.7.194.99.dynamic.ttnet.com.tr,"Linksys WRV54G WAP",97
95.7.200.10,95.7.200.10.dynamic.ttnet.com.tr,"Linksys RV042 router",97
